Name, unusual, Old-fashioned, Origin
Sophia, 3, 4,Greek
Emma, 3, 6,German
Olivia, 3, 7,English
Isabella, 3, 8,Spanish
Ava, 4, 5,Other
Mia, 5, 5,Scandanavian
Emily, 2, 6,English
Abigail, 4, 10,Hebrew
Madison, 5, 7,English
Elizabeth, 1, 10,English
Charlotte, 3, 9,French
Avery, 5, 5,French
Sofia, 6, 4,German
Chloe, 5, 4,Greek
Ella, 4, 3,English
Harper, 7, 6,English
Amelia, 4, 9,German
Aubrey, 6, 9,French
Addison, 6, 10,
Evelyn, 6, 7,
Natalie, 4, 7,
Grace, 2, 10,
Hannah, 2, 2,
Zoey, 6, 2,
Victoria, 3, 7,
Lillian, 5, 5,
Lily, 4, 7,
Brooklyn, 7, 1,
Samantha, 4, 6,
Layla, 7, 1,
Zoe, 3, 3,
Audrey, 4,5,
Leah, 6, 5,
Allison, 3, 5,
Anna, 2, 7,
Aaliyah, 6,10,
Savannah, 5, 1,
Gabriella, 5, 7,
Camila, 7, 5,
Aria, 8, 5,
Kaylee, 6, 2,
Scarlett, 7, 9,
Hailey, 6, 5,
Arianna, 5, 7,
Riley, 7, 4,
Alexis, 6, 5,
Nevaeh, 10, 1,
Sarah, 1, 10,
Claire, 2, 9,
Sadie, 4, 4,
Peyton, 7, 3,
Aubree, 7, 6,
Serenity, 9, 2,
Ariana, 5, 4,
Genesis, 9, 1,
Penelope, 6, 5,
Alyssa, 6, 5,
Bella, 4, 7,
Taylor, 5, 3,
Alexa, 6, 3,
Kylie, 7, 2,
Mackenzie, 6, 5,
Caroline, 3, 8,
Kennedy, 8, 3,
Autumn, 8, 4,
Lucy, 2, 7,
Ashley, 2, 6,
Madelyn, 7, 4,
Violet, 5, 7,
Stella, 6, 3,
Brianna, 6, 3,
Maya, 4, 5,
Skylar, 7, 4,
Ellie, 6, 7,
Julia, 3, 8,
Sophie, 4, 9,
Katherine, 2, 7,
Mila, 7, 6,
Khloe, 7, 2,
Paisley, 8, 2,
Annabelle, 5, 8,
Alexandra, 4, 7,
Nora, 4, 4,
Melanie, 4, 6,
London, 6, 2,
Gianna, 6, 3,
Naomi, 7, 8,
Eva, 3, 7,
Faith, 4, 5,
Madeline, 3, 5,
Lauren, 2, 8,
Nicole, 3, 4,
Ruby, 5, 5,
Makayla, 7, 1,
Kayla, 6, 3,
Lydia, 5, 6,
Piper, 7, 3,
Sydney, 5, 5,
Jocelyn, 6, 4,
Morgan, 6, 6,
Kimberly, 6, 4,
Molly, 4, 6,
Jasmine, 6, 7,
Reagan, 8, 5,
Bailey, 7, 5,
Eleanor, 4, 7,
Alice, 3, 6,
Trinity, 10, 5,
Rylee, 10, 3,
Andrea, 5, 6,
Hadley, 7, 4,
Maria, 4, 9,
Brooke, 6, 4,
Mariah, 5, 9,
Isabelle, 3, 7,
Brielle, 6, 5,
May, 6, 7,
Quinn, 8, 6,
Vivian, 6, 6,
Natalia, 6, 7,
Mary, 1, 10,
Liliana, 5, 5,
Payton, 6, 3,
Lilly, 6, 5,
Eliana, 6, 7,
Jade, 7, 7,
Cora, 7, 4,
Paige, 6, 6,
Valentina, 7, 7,
Kendall, 7, 3,
Clara, 4, 4,
Elena, 4, 6,
Jordyn, 5, 2,
Kaitlyn, 4, 6,
Delilah, 6, 10,
Isabel, 4, 7,
Destiny, 6, 2,
Rachel, 3, 10,
Amy, 2, 7,
Mckenzie, 6, 3,
Gabrielle, 5, 8,
Brooklynn, 7, 1,
Katelyn, 5, 4,
Laila, 6, 9,
Aurora, 6, 7,
Ariel, 6, 5,
Angelina, 5, 7,
Aliyah, 6, 10,
Juliana, 6, 6,
Vanessa, 5, 5,
Adriana, 5, 7,
Ivy, 6, 6,
Lyla, 6, 3,
Sara, 4, 10,
Willow, 7, 4,
Reese, 7, 3,
Hazel, 7, 5,
Eden, 9, 10,
Elise, 5, 8,
Josephine, 5, 10,
Kinsley, 8, 5,
Ximena, 10, 1,
Jessica, 3, 7,
Londyn, 10, 1,
Makenzie, 6, 7,
Gracie, 5, 3,
Isla, 7, 3,
Michelle, 2, 4,
Valerie, 4, 5,
Kylee, 6, 2,
Melody, 7, 3,
Catherine, 3, 9,
Adalynn, 7, 6,
Jayla, 7, 7,
Alexia, 6, 7,
Valeria, 5, 8,
Adalyn, 7, 6,
Rebecca, 3, 7,
Izabella, 4, 6,
Alaina, 7, 5,
Margaret, 2, 10,
Alana, 5, 4,
Alivia, 7, 3,
Kate, 2, 7,
Luna, 7, 5,
Norah, 5, 7,
Kendra, 6, 4,
Summer, 7, 3,
Ryleigh, 7, 2,
Julianna, 6, 6,
Jennifer, 2, 7,
Lila, 6, 5,
Hayden, 7, 5,
Emery, 7, 5,
Stephanie, 3, 5,
Angela, 4, 5,
Fiona, 6, 9,
Daisy, 7, 7,
Presley, 9, 2,
Eliza, 4, 7,
